[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /uploads/generated/:filename --> main.setupRouter.func1 (6 handlers)
[GIN-debug] HEAD   /uploads/generated/:filename --> main.setupRouter.func1 (6 handlers)
[GIN-debug] GET    /health                   --> main.setupRouter.func2 (6 handlers)
[GIN-debug] GET    /health/db                --> main.setupRouter.func3 (6 handlers)
2025/06/10 15:10:27 Using Gemini Repository for image generation.
[GIN-debug] POST   /api/v1/auth/login        --> github.com/45ai/backend/internal/handler.AuthHandler.Login-fm (6 handlers)
[GIN-debug] GET    /api/v1/templates         --> github.com/45ai/backend/internal/handler.TemplateHandler.GetAll-fm (6 handlers)
[GIN-debug] GET    /api/v1/templates/:id     --> github.com/45ai/backend/internal/handler.TemplateHandler.GetByID-fm (6 handlers)
[GIN-debug] GET    /api/v1/me                --> github.com/45ai/backend/internal/handler.UserHandler.GetProfile-fm (7 handlers)
[GIN-debug] PUT    /api/v1/me                --> github.com/45ai/backend/internal/handler.UserHandler.UpdateProfile-fm (7 handlers)
[GIN-debug] GET    /api/v1/me/transactions   --> github.com/45ai/backend/internal/handler.UserHandler.GetTransactions-fm (7 handlers)
[GIN-debug] POST   /api/v1/generate          --> github.com/45ai/backend/internal/handler.GenerationHandler.GenerateImage-fm (7 handlers)
[GIN-debug] GET    /api/v1/generate/:job_id/status --> github.com/45ai/backend/internal/handler.GenerationHandler.GetGenerationStatus-fm (7 handlers)
[GIN-debug] GET    /api/v1/generate/:job_id  --> github.com/45ai/backend/internal/handler.GenerationHandler.GetGenerationResult-fm (7 handlers)
2025/06/10 15:10:27 Starting 2 queue workers
2025/06/10 15:10:27 Worker 2 started
2025/06/10 15:10:27 Worker 1 started
2025/06/10 15:10:27 Server starting on port 8080 in development mode
[GIN] 2025/06/10 - 15:10:32 | 200 |     489.291µs |             ::1 | GET      "/health"
[GIN] 2025/06/10 - 15:10:32 | 200 |     582.375µs |             ::1 | GET      "/health"
[GIN] 2025/06/10 - 15:10:41 | 200 |    6.717666ms |             ::1 | POST     "/api/v1/auth/login"
[GIN] 2025/06/10 - 15:10:41 | 200 |    7.006916ms |             ::1 | POST     "/api/v1/auth/login"
[GIN] 2025/06/10 - 15:11:19 | 200 |    1.220084ms |             ::1 | GET      "/health/db"
[GIN] 2025/06/10 - 15:11:19 | 200 |    1.290583ms |             ::1 | GET      "/health/db"
[GIN] 2025/06/10 - 15:11:30 | 200 |    2.133542ms |             ::1 | GET      "/api/v1/me"
[GIN] 2025/06/10 - 15:11:30 | 200 |    2.184417ms |             ::1 | GET      "/api/v1/me"
[GIN] 2025/06/10 - 15:25:56 | 200 |   17.372667ms |             ::1 | POST     "/api/v1/auth/login"
[GIN] 2025/06/10 - 15:25:56 | 200 |   18.332875ms |             ::1 | POST     "/api/v1/auth/login"
[GIN] 2025/06/10 - 15:27:03 | 200 |    1.934666ms |             ::1 | POST     "/api/v1/auth/login"
[GIN] 2025/06/10 - 15:27:03 | 200 |    2.109167ms |             ::1 | POST     "/api/v1/auth/login"
[GIN] 2025/06/10 - 15:53:32 | 200 |      4.5235ms |             ::1 | GET      "/health"
[GIN] 2025/06/10 - 15:53:32 | 200 |    5.722958ms |             ::1 | GET      "/health"
[GIN] 2025/06/10 - 15:57:19 | 204 |    8.426792ms |             ::1 | OPTIONS  "/api/v1/me/transactions"
[GIN] 2025/06/10 - 15:57:19 | 204 |   11.329542ms |             ::1 | OPTIONS  "/api/v1/me/transactions"
[GIN] 2025/06/10 - 15:57:19 | 204 |    8.948792ms |             ::1 | OPTIONS  "/api/v1/me"
[GIN] 2025/06/10 - 15:57:19 | 204 |   13.888584ms |             ::1 | OPTIONS  "/api/v1/me"
[GIN] 2025/06/10 - 15:57:19 | 401 |    1.999042ms |             ::1 | GET      "/api/v1/me/transactions"
[GIN] 2025/06/10 - 15:57:19 | 401 |    2.039416ms |             ::1 | GET      "/api/v1/me/transactions"
[GIN] 2025/06/10 - 15:57:19 | 401 |    2.277583ms |             ::1 | GET      "/api/v1/me"
[GIN] 2025/06/10 - 15:57:19 | 401 |    2.441917ms |             ::1 | GET      "/api/v1/me"
[GIN] 2025/06/10 - 15:57:20 | 401 |     130.917µs |             ::1 | GET      "/api/v1/me/transactions"
[GIN] 2025/06/10 - 15:57:20 | 401 |    2.696417ms |             ::1 | GET      "/api/v1/me/transactions"
